Year,Cluster,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share
2003,2,668706368.0,0.9861491991464856,0.013782671827729819,0.0,0.013782671827729819,0.0,0.044561923396350143,0.0,0.044561923396350143,0.00022457846152413636,0.2358468865627125,0.7639285349757633
2003,3,1556134160.0,0.7129100506691914,0.2737919406357837,0.007342141613585154,0.26644979902219856,0.033856894663478646,0.5911142025237262,0.017075002624655992,0.5740391998990702,0.19304391364002835,0.09398176955067156,0.7129743168093001
2004,0,12422925514.0,0.9395765447443726,0.05620046316041179,0.01136084467657246,0.0448396184838393,0.8435726001153416,0.13949307431099603,0.02589554444990568,0.11359752986109033,0.23485579430147116,0.07484122426630765,0.6903029814322211
2004,1,10602850286.0,0.8470519673208643,0.1483181860001714,0.11179159289361161,0.036526593106559764,0.39836827028746424,0.36770727414012944,0.27753060787918177,0.09017666626094757,0.5995952277359513,0.06569597611174335,0.33470879615230525
2004,2,684571086.0,0.9861847625649898,0.013729951580336668,0.0,0.013729951580336668,0.0,0.04405910451311406,0.0,0.04405910451311406,0.00033592480870835455,0.23817514328623207,0.7614889319050596
2004,3,1570049268.0,0.7110253326637521,0.2750041280887413,0.008124884404333727,0.2668792436844076,0.033797038844356225,0.5965837993370324,0.0190250329968794,0.577558766340153,0.19265711717576964,0.09535658064399387,0.7119863021802364
2005,0,13250936366.0,0.942427601109687,0.05272193912909253,0.010830305961138098,0.041891633167954426,0.8497469247650141,0.13115071612915424,0.024743861549336846,0.10640685457981736,0.23745187650665467,0.0755714970468935,0.6869766264464519
2005,1,10651418270.0,0.8433751507105715,0.15053970721446921,0.11215409304775371,0.03838561416671547,0.40188262273113406,0.37180831693648186,0.27851014863533563,0.09329816830114614,0.5995015106873538,0.06597653198857958,0.33452195732406653
2005,2,714781262.0,0.9864098451899188,0.013488497120389476,0.0,0.013488497120389476,0.0,0.04498527463754472,0.0,0.04498527463754472,0.0004305971795668636,0.24118989565558113,0.758379507164852
2005,3,1586357604.0,0.7055829150808157,0.27925773400350223,0.00795493534472942,0.27130279865877277,0.031930600975823654,0.587359247670738,0.018213228123685074,0.5691460195470529,0.19304198858199453,0.09643091750238462,0.7105270939156209
2006,0,14129972740.0,0.9388583496742671,0.05606242887081222,0.010837422700778561,0.04522500617003365,0.8466700870598485,0.13518740679343816,0.024462553423208182,0.11072485337022997,0.2402538355350634,0.07661786127177735,0.6831283031931592
