Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Log Fossil,Log Non-CO₂,Log Nuclear,Log Renewable,Cluster
Russia,2020,1632929300.0,0.8620928506571713,0.1373870258439959,0.0673529024480625,0.0700341233959333,0.5972598684442944,0.3974067316859364,0.1989225669617844,0.1984841647241521,0.0151553089829795,0.0413547017412483,0.943489989275772,0.4682895788780329,0.3346181844181098,0.1814232926102744,0.18105756222608493,1
Saudi Arabia,2020,616085760.0,0.9998061981721924,0.0001938018365603,0.0,0.0001938018365603,0.9994407970639514,0.0005592029360485,0.0,0.0005592029360485,0.0,0.0077719448111999,0.9922280551888,0.6928675399961429,0.0005590466403513931,0.0,0.0005590466403513931,0
South Africa,2020,434066530.0,0.9550185167444936,0.0435149526207569,0.0179175660625712,0.0255973865581857,0.8802145670031195,0.0980501881324151,0.0413557226915672,0.0566944654408479,1.0,0.0,0.0,0.631385901714005,0.09353605072434566,0.04052344374231099,0.055145606863214625,0
South Korea,2020,597634300.0,0.8429152247098542,0.1413022727326506,0.12061413009745,0.0206881426352005,0.6460082897785797,0.3232455669047255,0.2775609392991339,0.0456846276055915,1.0,0.0,0.0,0.4983531385596805,0.2800874815933297,0.24495274395342653,0.04467181693635735,1
Spain,2020,211842610.0,0.6684081743709421,0.3018775273321256,0.103252975588906,0.1986245517432195,0.3287834252259445,0.6299696671392288,0.2213569311032789,0.4086127360359497,1.0,0.0,0.0,0.28426380574874444,0.4885614055284816,0.19996247927530666,0.3426053449154095,1
Thailand,2020,271923300.0,0.9281872523078916,0.0244174144653439,0.0,0.0244174144653439,0.857890864050134,0.0724760254862358,0.0,0.0724760254862358,0.0083531915527674,0.0715617139376832,0.9200850945095492,0.6194419002650444,0.06997001771119613,0.0,0.06997001771119613,0
Trinidad and Tobago,2020,35066304.0,0.9999029932741762,9.700672908712588e-05,0.0,9.700672908712588e-05,0.0,0.0006780016694774,0.0,0.0006780016694774,0.0,0.2361061025670614,0.7638938974329387,0.0,0.0006777719301820467,0.0,0.0006777719301820467,2
Turkey,2020,412926880.0,0.8135154789596798,0.1641600185200534,0.0,0.1641600185200534,0.5773205477820963,0.3712801526956867,0.0,0.3712801526956867,1.0,0.0,0.0,0.45572755161346445,0.3157447215693265,0.0,0.3157447215693265,0
Turkmenistan,2020,64260420.0,0.9999394378627432,6.056213725668847e-05,0.0,6.056213725668847e-05,0.0,0.0003936617016609,0.0,0.0003936617016609,0.0,0.185994062890185,0.8140059371098151,0.0,0.0003935842372223967,0.0,0.0003935842372223967,2
Ukraine,2020,206823860.0,0.741337307782075,0.2554114573421714,0.2090956777441512,0.0463157795980202,0.3697258408918995,0.6251632467622094,0.5155749539584875,0.1095882928037217,0.4368740534064687,0.5631259465935313,0.0,0.314610603676828,0.4856082702819536,0.4157948745299097,0.10398903913705093,1
United Arab Emirates,2020,217379580.0,0.9852916286830627,0.0147059867642819,0.0034034373875418,0.01130254937674,0.9503879305652236,0.0496055149404923,0.0118482346264469,0.0377572803140453,0.0,0.011512888385728,0.988487111614272,0.6680282915413628,0.048414393519810035,0.011778593835137756,0.03706192340608988,0
United Kingdom,2020,326263200.0,0.7363237396496362,0.1905235284134551,0.0642811352142179,0.1262423931992372,0.3803845146659141,0.4609103875401383,0.1597853058650944,0.3011250816750438,0.0009127072542323,0.0282339953818609,0.9708532973639068,0.32236209417380074,0.37905979450146715,0.1482349068378628,0.2632293376261278,1
United States,2020,4714628000.0,0.8097016280933637,0.1657553068527363,0.0851006900415441,0.0806546168111922,0.6092423048054371,0.3702816932356691,0.1939193845185154,0.1763623087171537,0.0141652933455158,0.0439611158241353,0.9418735908303488,0.4757634500876323,0.31501633420455216,0.17724149553735255,0.16242688767163668,1
Uzbekistan,2020,109631970.0,0.9756519312406992,0.0243480687593008,0.0,0.0243480687593008,0.0,0.0752783470654975,0.0,0.0752783470654975,0.0131212276339259,0.4491074498292159,0.5377713225368581,0.0,0.0725795555664739,0.0,0.0725795555664739,2
Venezuela,2020,80927096.0,0.6655975429416404,0.3343993315291365,0.0,0.3343993315291365,0.0,0.8235046348807515,0.0,0.8235046348807515,0.0002457227917476,0.0219162183583024,0.97783805884995,0.0,0.6007602730131628,0.0,0.6007602730131628,3
Vietnam,2020,362459620.0,0.8145990612541396,0.1844997805156134,0.0,0.1844997805156134,0.6484949078912317,0.3467551894428393,0.0,0.3467551894428393,0.0918232602214762,0.027943845418088,0.8802328943604357,0.49986269459022925,0.2976981358792977,0.0,0.2976981358792977,0
