Country,Year,Electricity Generation Twh,Nuclear_TWh,Hydro_TWh,Solar_TWh,Wind_TWh,Oil_Production,Gas_Production,Coal_Production,Oil_Electricity,Gas_Electricity,Coal_Electricity
Total Europe,1994,3192.4144816043736,952.2626842105262,557.0317305492931,0.0346575,2.9880357028282827,303.07721503501995,9.28840940052396,14.629830204765312,233.7800552455048,293.49179268337224,1090.6282501156777
Total Europe,1995,3278.874671647242,977.075105263158,564.7576386549496,0.044909,3.873229201212121,315.1821727312674,9.585575531139511,14.489703518920578,249.868464105276,317.643928517502,1093.770026295447
Total Europe,1996,3354.351401758044,1031.9953684210527,548.0930749056565,0.0478334111111111,4.839585245252525,331.15732035237204,10.797817396705796,13.747189178480768,240.2640315681469,364.6470523134799,1093.6864390911228
Total Europe,1997,3389.4454254179914,1042.2876315789474,567.9773315644445,0.0569972444444444,7.305892955555555,331.15300201209175,10.63899810867133,13.763134550972609,227.1591519606902,415.10859977870354,1051.485609291784
Total Europe,1998,3466.6285071821508,1033.6685664808228,593.9997030860685,0.0671515,11.184479135151514,328.2930985163007,10.601912406884368,12.607859987969276,232.14099839451103,446.9510822286993,1058.312892714869
Total Europe,1999,3510.2478938313443,1040.206209075929,598.2666185962262,0.0802890555555555,14.25504576676768,333.49534331338765,10.891791685455246,12.095027559786104,215.2499565409736,523.2989707274578,1022.4586918752544
Total Europe,2000,3619.412486924805,1048.5890789846578,617.7158820854133,0.07451525,22.443915202828283,337.2452023972447,11.157301041283064,11.66704151329759,193.3133720191865,556.4575035193342,1077.005853341786
Total Europe,2001,3685.05861753965,1081.774761975416,611.9691656075867,0.1942865,26.92392865535354,327.3320161595112,11.300179123922137,11.579820401704636,188.9112814055104,576.8578587302312,1092.014278827983
Total Europe,2002,3719.250594520313,1095.2293297923784,563.9482893565842,0.3147930055555555,36.47704631474748,325.2946991480347,11.615493751873146,11.479199336085005,204.38461920709727,611.991515233342,1094.446959762102
Total Europe,2003,3810.969381931661,1104.561944382644,530.3657948889968,0.4688157444444444,44.90445628565657,311.29758362584863,11.73842398886336,11.389564452729246,183.42233996775377,669.1290483323681,1155.6937098625594
Total Europe,2004,3895.765016678584,1122.4139499580042,570.9356698069629,0.7509858728888889,59.79907685959597,298.08845281245226,12.14517463115044,11.01361239158723,162.93529346189794,717.2560104467328,1127.4494612068402
Total Europe,2005,3958.6229441274218,1109.932486211541,571.7338685247004,1.5125292461111106,71.62474136519127,274.29537389491827,11.792894296289887,10.777552514616218,156.38467718185808,776.2252151142112,1119.0513971851676
Total Europe,2006,4014.906003856941,1107.815284090422,562.0682836295423,2.569653813888889,83.78271887836482,253.54638344332523,11.533381282715707,10.749065424776743,144.03141038138824,789.5611364782287,1162.177816747893
Total Europe,2007,4064.023637689815,1055.5504260127243,563.5391673624625,3.878195819444444,106.508607767021,241.5301265149643,11.02569138124818,10.548067828548485,124.89631819493756,857.9277793363842,1178.0522022264754
Total Europe,2008,4087.431717192517,1054.8447537558095,593.2728330958256,7.589518132222222,122.16915149753568,230.32637495956416,11.53575843085855,10.298519433056754,119.17757728618643,910.300301030025,1100.5730073319442
Total Europe,2009,3894.3722537394447,1004.4282581201562,589.7375614513061,14.324183496662672,136.16087261318697,217.32471033966945,10.928489772966714,9.727700895465205,108.33881473708828,846.3371740329684,1007.5761019897866
Total Europe,2010,4064.753190101542,1031.8069291998574,650.7624926192136,23.49681355276784,153.4284478641755,200.92110556086715,11.164477623140556,9.650137794206785,92.51889408995412,884.6933519665538,1019.8215014406284
Total Europe,2011,4020.516352532824,1023.9153922745214,569.6559187122074,47.16969184821455,186.9517132309052,183.39799950132567,10.25308658737049,9.98936621885423,77.76299068506663,830.9565665779393,1066.2070318694743
Total Europe,2012,4052.584804545682,998.1298568818388,625.573844399421,72.17461616389545,215.039298064032,168.31298625510289,10.365970774411837,10.009049260467693,79.66668052070598,709.4421855163998,1115.7317965430009
Total Europe,2013,4021.535047430122,986.223562080124,661.6952289548641,86.53929384335312,248.1177117533209,159.5392169706198,10.099904935384984,9.448364306840633,67.50348310076376,634.2487298625658,1087.7970218526
Total Europe,2014,3938.495724161763,992.4439292993552,643.9924262671732,98.23758597732991,264.8143134879065,160.256342424697,9.586136082398298,8.570563405802204,63.151336971352336,596.8068003744816,1017.2270733273846
Total Europe,2015,3983.126745290229,968.015834397757,637.3568527097638,109.12905914082953,318.96254353695343,166.91060258185163,9.395136343460765,7.877340241359889,67.2816657934751,612.5511778803092,992.689465833691
Total Europe,2016,4021.975394419007,941.9211993975024,653.5459527102936,113.335562366526,322.81748736295623,168.16533513089388,9.360713298417975,7.583223853449454,65.97166805073793,716.2260169125742,923.9651964801376
Total Europe,2017,4061.9390196293566,935.8934541978948,586.670509181296,123.6082196014243,384.1743281316768,165.50154053981615,9.458546192501672,7.2765781265625264,62.57223372813252,787.564463589307,889.5905320342083
Total Europe,2018,4065.045909165509,935.81841117,646.4716830066483,136.94977190149498,403.2616570670911,163.8780874206022,9.053566389804471,7.075287454783393,57.218635900871625,732.81861544297,854.5095973502645
Total Europe,2019,3997.20513941493,929.7326592300002,628.3012706563629,150.9885335847605,459.49213416499305,159.98222625347276,8.461008566548117,6.358480721413798,54.48798781852923,780.2615526906986,689.6911276422125
Total Europe,2020,3884.1713327156376,832.9835787700001,660.9452224185733,175.96384181642046,513.3051812668755,168.43278313501196,7.8886531620664755,5.466063034909894,49.395767760318925,766.3515932317147,571.4953607812973
Total Europe,2021,4041.270728318168,882.3403795065865,654.3879970654262,198.3821465415976,500.8580254365153,160.86100885695535,7.6003579683747375,5.8222730957331805,50.14092522073732,799.5940474045742,631.3621856557423
Total Europe,2022,3899.3882013223806,742.1605858911423,564.0964078738469,249.3949730669881,555.0759586237983,151.35645482164338,7.928741947762319,5.923869720412768,58.07883403776261,749.7054631182202,658.7532634040167
Total Europe,2023,3805.1268363743375,735.9360427578681,638.6994903668067,294.8770995837667,614.128195898005,152.0720809778558,7.355830631560821,4.875923344727198,53.305826733869296,636.927288008937,529.8784414708385
Total Middle East,1990,258.16823373923427,0.0,15.273264,0.0,0.001,837.401343978683,3.625952655100264,0.0227028983645141,112.90894643550732,119.45016510372696,10.532599999999997
Total Middle East,1991,248.31516565049856,0.0,11.009184,0.0,0.001,823.8191121539253,3.82074128248496,0.023426100728102,106.16253095081665,119.69719249968188,11.439
Total Middle East,1992,285.9626132953641,0.0,17.827066000000002,0.0,0.001,913.0364912395064,4.078349698742386,0.0188409776892513,119.7287400792952,134.29254901606896,14.115
Total Middle East,1993,319.8448176459851,0.0,20.046731999999995,0.0,0.001,947.9599107325578,3.781461314705666,0.0307828279910609,129.90562040298502,153.806368243,16.085
Total Middle East,1994,339.6989398550226,0.0,16.549761,0.0,0.001,969.2123964336316,4.396071496361401,0.0301449092803522,138.82047887979266,167.26944177522995,17.058999999999997
Total Middle East,1995,354.37795336517087,0.0,18.652707000000003,0.0,0.001,975.3612155471948,4.987171017448418,0.0297771914629265,147.89088635936332,169.02826300580756,18.801
Total Middle East,1996,372.0208602918356,0.0,18.698375,0.0,0.001,994.5971850168114,5.369101120508276,0.0279347811592742,152.49040024279475,178.3659880490408,22.465
Total Middle East,1997,397.1354139326802,0.0,15.927055,0.0,0.003,1025.448493902599,5.780190056364518,0.0270042562624439,161.62665483426235,194.70344589841784,24.879
Total Middle East,1998,427.5556396662816,0.0,17.21056,0.0,0.003,1098.9489284933138,6.208609604742378,0.0335404869401827,170.81886840954556,212.939953056736,26.543
Total Middle East,1999,447.8127541190689,0.0,11.80105,0.0,0.038,1058.6162220257495,6.727443791169208,0.028743470320478,185.92007140031524,223.3213745187536,26.62
Total Middle East,2000,478.2642632131932,0.0,10.722177,0.0,0.0395,1128.9067144268597,7.346382734569488,0.031107589486055,195.09281784851328,242.6219937646798,29.669000000000004
Total Middle East,2001,509.0557267372644,0.0,11.617796,0.0,0.0467,1106.7729810086498,8.002457871742081,0.0303313566837459,194.4327334947476,269.5203032425169,33.370000000000005
