Country,Year,Electricity Generation Twh
Croatia,1998,11.461500000000001
Cyprus,1998,2.991
Czech Republic,1998,65.112452
Denmark,1998,41.110688888888895
Estonia,1998,8.521
Finland,1998,70.167292
France,1998,511.276
Germany,1998,557.2170000000001
Greece,1998,46.329
Hungary,1998,37.19
Iceland,1998,6.274405
Ireland,1998,21.154807180000002
Italy,1998,259.8
Latvia,1998,5.797
Lithuania,1998,17.63
Luxembourg,1998,1.295517
Netherlands,1998,92.00627300000001
North Macedonia,1998,7.048
Norway,1998,117.002
Poland,1998,142.78900000000002
Portugal,1998,38.984
Romania,1998,53.496
Slovakia,1998,26.032
Slovenia,1998,13.705
Spain,1998,195.209
Sweden,1998,159.00300000000001
Switzerland,1998,63.28794045720362
Turkey,1998,111.02239999999999
Ukraine,1998,172.822
United Kingdom,1998,362.701
Other Europe,1998,65.6241766902579
Total Europe,1998,3466.6285071821508
Azerbaijan,1998,17.995
Belarus,1998,23.492
Kazakhstan,1998,49.800000000000004
Russian Federation,1998,827.158
Turkmenistan,1998,9.416
Uzbekistan,1998,45.9
Other CIS,1998,39.518
Total CIS,1998,1013.279
Iran,1998,102.385
Iraq,1998,26.743561000000003
Israel,1998,37.976400000000005
Kuwait,1998,29.984
Oman,1998,8.2
Qatar,1998,8.166
Saudi Arabia,1998,126.16767866628155
United Arab Emirates,1998,33.392
Other Middle East,1998,54.541000000000004
Total Middle East,1998,427.55563966628154
Algeria,1998,23.262
Egypt,1998,60.697
Morocco,1998,12.968
South Africa,1998,205.374
Eastern Africa,1998,38.80012010020354
Middle Africa,1998,10.943000000000001
Western Africa,1998,29.11680848827687
Other Northern Africa,1998,22.699315789473687
Other Southern Africa,1998,2.5985000000000005
Total Africa,1998,406.4587443779541
Australia,1998,199.471
Bangladesh,1998,12.882
China,1998,1167.0
China Hong Kong SAR,1998,31.414444444444445
India,1998,505.0784301838384
Indonesia,1998,76.69270999999999
Japan,1998,1059.663
Malaysia,1998,64.14126656810983
New Zealand,1998,37.775845123441584
Pakistan,1998,66.396
Philippines,1998,41.578
Singapore,1998,28.3748
South Korea,1998,237.19740600000003
Sri Lanka,1998,5.67539
Taiwan,1998,163.227884343
Thailand,1998,89.53300999999999
Vietnam,1998,21.688
Other Asia Pacific,1998,41.482534168030305
Total Asia Pacific,1998,3849.2717208308654
Canada,1999,577.7736449502214
Mexico,1999,189.9785806379923
US,1999,3936.0977119651766
Total North America,1999,4703.84993755339
Argentina,1999,80.74473499999999
Brazil,1999,334.7262336887574
Chile,1999,38.384
Colombia,1999,47.77472075020728
Ecuador,1999,10.308119274180001
Peru,1999,19.049599999999998
Trinidad & Tobago,1999,5.247
Venezuela,1999,80.58500000000001
Central America,1999,24.74684379877527
Other Caribbean,1999,65.0954326645731
Other South America,1999,65.84131708840677
Total S. & Cent. America,1999,772.5030022648999
Austria,1999,60.94104599999999
Belgium,1999,84.514
Bulgaria,1999,38.248
Croatia,1999,12.9794
Cyprus,1999,3.1390000000000002
Czech Republic,1999,64.694232
Denmark,1999,38.91459444444445
Estonia,1999,8.265
Finland,1999,69.457417
France,1999,525.806
Germany,1999,556.3010000000002
Greece,1999,49.632
