Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
South Korea,1997,28.126123000000003,42.00232999999999,93.936845
Taiwan,1997,29.257505243,8.970671327,65.639488814
Thailand,1997,21.706792,44.573673632,19.02579449
Vietnam,1997,2.177,1.973,3.325
Other Asia Pacific,1997,75.39356047888727,59.75659707949854,36.93607525496611
Total Asia Pacific,1997,459.3380975323262,508.58133476721633,1780.2583402745831
Canada,1998,16.85806451612903,26.423763440860213,105.9936559139785
Mexico,1998,92.33252289079786,30.022325098295823,18.687679279591308
US,1998,138.49480967741934,571.2441978494624,2029.0407741935485
Total North America,1998,247.68539708434625,627.6902863886183,2153.722109387118
Argentina,1998,3.81,34.26260048708345,1.808
Brazil,1998,11.209596132461703,1.321,6.9736292
Other S. & Cent. America,1998,83.79129727652648,47.49053487021483,14.07846975556389
Total S. & Cent. America,1998,98.8108934089882,83.07413535729827,22.86009895556389
France,1998,11.651,4.9750000000000005,37.312
Germany,1998,6.7,50.743,292.802
Italy,1998,107.305,70.21300000000001,27.827
Netherlands,1998,3.013,52.126126,29.576
Poland,1998,1.902,0.313,135.993
Spain,1998,17.499,16.212,63.166
Turkey,1998,7.9233,24.8375,35.6875
Ukraine,1998,2.248,29.197,50.22
United Kingdom,1998,8.182540482523825,117.79828819105188,122.97085129707412
Other Europe,1998,65.71715791198713,80.53616803764754,262.75854141779496
Total Europe,1998,232.14099839451103,446.9510822286993,1058.312892714869
Kazakhstan,1998,3.634466226160357,4.073196049390753,35.86540312444888
Russian Federation,1998,52.94331031238774,346.50375199621567,162.97269257034327
Other CIS,1998,21.067,76.7144842,3.252
Total CIS,1998,77.6447765385481,427.2914322456064,202.09009569479213
Iran,1998,23.02991305013288,71.75508694986712,0.112
Saudi Arabia,1998,72.56708122655964,53.60059743972192,0.0
United Arab Emirates,1998,0.0027313328530259,33.38926866714697,0.0
Other Middle East,1998,75.2191428,54.19499999999999,26.431
Total Middle East,1998,170.81886840954556,212.939953056736,26.543
Egypt,1998,16.063,32.529500000000006,0.0
South Africa,1998,0.0,0.0,187.5270005227659
Other Africa,1998,26.968582249298173,44.801,14.17062499305941
Total Africa,1998,43.031582249298175,77.3305,201.69762551582528
Australia,1998,1.775,14.4675,165.9459
China,1998,53.392,6.0920000000000005,891.6741390444446
India,1998,21.038,50.175,336.484
Indonesia,1998,9.53041,31.07327,22.43653
Japan,1998,192.4043513180573,230.09956092131367,192.2322868035584
Malaysia,1998,11.31,44.71926656810982,3.655
South Korea,1998,10.517918,27.876672,102.949809
Taiwan,1998,30.147786788,14.283169697000002,70.35539893
Thailand,1998,18.523073,49.02112797300001,16.59047822
Vietnam,1998,3.676,3.4370000000000003,3.48
Other Asia Pacific,1998,73.03014301067803,61.32415583074985,40.18195165851352
Total Asia Pacific,1998,425.3446821167353,532.5687229901735,1845.9854936565164
Canada,1999,14.81956989247312,27.87462365591398,106.1864516129032
Mexico,1999,89.66314170422059,32.905169836489804,18.6084261840852
US,1999,126.9471376344086,598.275405376344,2037.8632430107525
Total North America,1999,231.4298492311023,659.0551988687478,2162.658120807741
Argentina,1999,3.831,45.73213742105097,2.106
Brazil,1999,16.636875,2.652865088757397,9.714973368841546
Other S. & Cent. America,1999,85.43491324805704,42.23216842745572,15.575727956989248
Total S. & Cent. America,1999,105.90278824805706,90.61717093726408,27.396701325830797
France,1999,9.952,7.701,33.112
Germany,1999,6.3,51.8,279.068
Italy,1999,91.379,86.217,28.225
Netherlands,1999,2.781,52.58151600000001,25.068
Poland,1999,1.891,0.62,135.108
Spain,1999,24.445,19.058,75.436
Turkey,1999,8.0795,36.3459,37.0309
Ukraine,1999,1.427,30.254,53.871
United Kingdom,1999,6.5487897059158,142.9008686105889,106.17967779235832
Other Europe,1999,62.446666835057854,95.82068611686896,249.360114082896
Total Europe,1999,215.2499565409736,523.2989707274578,1022.4586918752544
Kazakhstan,1999,3.0123554843494653,4.098077266121936,34.0554400495286
Russian Federation,1999,40.90207266028448,358.6336370929492,161.34128661392984
Other CIS,1999,21.168,78.23222460000001,2.603
Total CIS,1999,65.08242814463395,440.963938959071,197.99972666345843
Iran,1999,27.342440015299594,77.15055998470041,0.417
Saudi Arabia,1999,76.0977428674364,54.901633251632425,0.0
United Arab Emirates,1999,0.0028187175792507,37.12318128242075,0.0
Other Middle East,1999,82.47706980000001,54.14600000000001,26.203
Total Middle East,1999,185.92007140031524,223.3213745187536,26.62
Egypt,1999,15.0515,37.2265,0.0
South Africa,1999,0.0,0.0,186.66200020789827
Other Africa,1999,29.82320014792322,48.864,13.133715211606356
Total Africa,1999,44.87470014792322,86.0905,199.7957154195046
Australia,1999,1.7565,16.123,171.1614
China,1999,50.261,4.813,969.6844324262628
India,1999,24.802,59.009,365.436
Indonesia,1999,9.81549,33.49757,26.3349
Japan,1999,193.2381165532271,244.68681853249583,211.6129372779133
Malaysia,1999,4.9670000000000005,51.1286982804424,4.522
South Korea,1999,11.905647000000002,29.912465999999984,111.09661
Taiwan,1999,31.771655277,15.449401558,73.643094119
Thailand,1999,15.886583000000003,53.804434629000006,16.633195532
Vietnam,1999,3.274,3.596,2.915
