Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
Netherlands,2021,139683650.0,0.8710868061702617,0.0853938648540072,0.0094733629422597,0.0759205019117475,0.6175485130144195,0.272464899207993,0.0313527591736254,0.2411121400343675,0.0,1.0,0.0,0
Netherlands,2022,127241000.0,0.8388120169254485,0.1160501067896928,0.0108860365601364,0.1051640702295563,0.5479367470965053,0.3504303023429928,0.0341212975289847,0.316309004814008,0.0,1.0,0.0,0
Netherlands,2023,118668370.0,0.8117119887586881,0.146817910113544,0.0104038881673676,0.1364140219461763,0.4751685508690796,0.4423022183082017,0.0325651804537505,0.4097370378544512,0.0,1.0,0.0,0
New Zealand,1990,25497218.0,0.5857308108215336,0.3677349583239652,0.0,0.3677349583239652,0.0,0.7108926522598537,0.0,0.7108926522598537,1.0,0.0,0.0,3
New Zealand,1991,26175920.0,0.5958799317297849,0.3559580048272047,0.0,0.3559580048272047,0.0,0.6805897813519414,0.0,0.6805897813519414,1.0,0.0,0.0,3
New Zealand,1992,28162450.0,0.6253303203069939,0.3274139793419726,0.0,0.3274139793419726,0.0,0.6351321638412635,0.0,0.6351321638412635,1.0,0.0,0.0,3
New Zealand,1993,27754740.0,0.5979285154848725,0.3539999841132993,0.0,0.3539999841132993,0.0,0.6787073904685245,0.0,0.6787073904685245,1.0,0.0,0.0,3
New Zealand,1994,27895360.0,0.5875521166374164,0.3688514122941599,0.0,0.3688514122941599,0.0,0.7341303504494827,0.0,0.7341303504494827,1.0,0.0,0.0,3
New Zealand,1995,28000622.0,0.5797376821371675,0.3788777263757338,0.0,0.3788777263757338,0.0,0.7562745497850929,0.0,0.7562745497850929,1.0,0.0,0.0,3
New Zealand,1996,29300678.0,0.6049878462258159,0.35528252573638,0.0,0.35528252573638,0.0,0.7116336243463108,0.0,0.7116336243463108,1.0,0.0,0.0,3
New Zealand,1997,31274490.0,0.6434125612083267,0.3156307189467729,0.0,0.3156307189467729,0.0,0.6215174267526579,0.0,0.6215174267526579,1.0,0.0,0.0,3
New Zealand,1998,29853020.0,0.6119523220479429,0.3436995957292394,0.0,0.3436995957292394,0.0,0.6708361638897543,0.0,0.6708361638897543,1.0,0.0,0.0,3
New Zealand,1999,31460674.0,0.6441812742079351,0.3086766601138807,0.0,0.3086766601138807,0.0,0.6048102841947401,0.0,0.6048102841947401,1.0,0.0,0.0,3
New Zealand,2000,32241040.0,0.6361600848912832,0.3163019426341473,0.0,0.3163019426341473,0.0,0.623418664074466,0.0,0.623418664074466,1.0,0.0,0.0,3
New Zealand,2001,34378748.0,0.6732987436762445,0.2817924018024147,0.0,0.2817924018024147,0.0,0.5495551926556312,0.0,0.5495551926556312,1.0,0.0,0.0,3
New Zealand,2002,34541836.0,0.6484851362703634,0.3104821236979674,0.0,0.3104821236979674,0.0,0.6144828920259737,0.0,0.6144828920259737,1.0,0.0,0.0,3
New Zealand,2003,36243228.0,0.6567911962071169,0.3022481947670875,0.0,0.3022481947670875,0.0,0.5817940306660678,0.0,0.5817940306660678,1.0,0.0,0.0,3
New Zealand,2004,35836710.0,0.6199410316997813,0.3389220870211706,0.0,0.3389220870211706,0.0,0.645374525683356,0.0,0.645374525683356,1.0,0.0,0.0,3
New Zealand,2005,37425184.0,0.6532786056767935,0.2996854863847508,0.0,0.2996854863847508,0.0,0.5570375835414956,0.0,0.5570375835414956,1.0,0.0,0.0,3
New Zealand,2006,37329750.0,0.6512762642164286,0.2989858625449968,0.0,0.2989858625449968,0.0,0.555731562714368,0.0,0.555731562714368,1.0,0.0,0.0,3
