Country,Year,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)",Log GDP,Cluster
Jordan,2020,20960476.0,24.2270735242209,96.3636119862552,1.73975978294192,3998.67313829235,42.0501035347226,123.079498614771,91.418,2.336235270882565,93.41841222409283,968.7614812073618,1681.4461946670797,69.56730711131202,8.293717869645382,3
Kazakhstan,2020,255486480.0,30.5289067989681,65.7459390399698,4.21199990309163,9121.63640904156,26.4975355671251,6.94731488683928,57.671,4.830891918793457,440.6563961461108,2784.7358778570324,2417.00885178962,384.2033167092014,9.118404497788553,1
Kenya,2020,21981834.0,9.64039992272566,88.9170243404849,0.423520517667392,1936.25075454374,17.5959494431674,91.3409354464631,27.995,0.9496753029519402,18.38809521912252,186.6623162448098,340.70170386246394,8.200419218982441,7.568508781424348,0
Kiribati,2020,65952.0,9.48954845679012,,1.17686109344576,1763.15507074083,66.505249382716,156.127160493827,55.594,1.7732638924211497,31.26539223683963,167.31545480630302,1172.5906768001946,20.74988604466484,7.474860136976055,0
Kuwait,2020,95654810.0,,,-0.519058653956504,24656.4337134064,,244.693827160494,100.0,3.317830295819601,818.0586276120781,,,-127.98135294648505,10.112793147987858,1
Kyrgyzstan,2020,8348492.5,29.5818778074207,94.7980314171614,-4.85484703138399,1256.92922601263,49.4104006230531,34.3060479666319,36.856,4.677028352658316,58.786936273459474,371.8232677648156,621.0537661210824,-61.02199121567197,7.136426903117002,0
Laos,2020,19491688.0,,,5.09807193491087,2593.35571817336,,31.7131672443674,36.29,5.072969977045413,131.56015698092523,,,132.21114004060237,7.86070796015346,3
Latvia,2020,6997988.0,60.7512914046754,77.2923475019248,2.76262678329592,18096.2027073394,59.4459974077252,30.5391129680219,68.315,0.8724427578941979,157.8790099740361,10993.676839916514,10757.46819230166,499.93054275247954,9.803457400069211,1
Lebanon,2020,23814864.0,16.3725868676481,109.286454886163,5.06712986613403,5599.95752260733,33.7572174203146,553.560410557185,88.925,3.010612982037064,168.59304816417756,916.8579099402816,1890.389836351828,283.7571201188556,8.630514291445781,3
Lesotho,2020,2172752.0,44.1643881452948,126.182472212914,1.3637141365728,910.93494753765,96.6210401578307,74.2457180500659,29.028,1.4745830012109316,13.432491888479923,402.30884598166585,880.1548214720686,12.422548654552992,6.8144714869579985,0
Liberia,2020,779626.0,,,23.23484230661,624.289710007737,,52.8196013289037,52.089,1.571024586197585,9.807744833323143,,,145.0527296566903,6.436614539483899,0
Libya,2020,34237410.0,14.7275804455421,95.9478026413501,,9872.11114427602,21.4719151974331,3.78163724609841,80.691,2.815310735104497,277.9306048262504,1453.9231104465728,2119.731333095284,,9.197469004618666,1
Liechtenstein,2020,141929.0,,,,165287.186766512,,242.225,14.416,0.0892081051539275,147.44956737663847,,,,12.015439765780545,2
Lithuania,2020,13562745.0,73.0980776598689,76.1363183396476,7.90967887457538,20381.8557827478,63.8145293826509,44.6324656659214,68.046,0.8345241831867354,170.0915154892745,14898.744768595488,13006.585347211138,1612.1393410944245,9.92240036164718,1
Luxembourg,2020,8074925.5,203.120263264672,48.6855526774136,13.350022097234,116905.370396853,169.151139678968,244.874264894386,91.453,0.5146297412441494,601.6298051738368,237458.4961206277,197746.76637219533,15606.892780833065,11.669120086497786,2
Madagascar,2020,3974940.0,20.1420748833617,95.7025319956036,2.74657132352468,462.404228818383,28.8686324830754,48.5135390168443,38.534,1.2864653395433765,5.948670132331358,93.13780603242984,133.48977740377785,12.700261947491136,6.136439462684824,0
Malawi,2020,1768165.0,,,2.0942928549253,621.417772482775,,205.526739499364,17.427,0.5201883584286817,3.2325429096622136,,,13.0143080083427,6.432003597262499,0
Malaysia,2020,263199410.0,61.5779359054349,73.9743024691118,1.20275464255821,10164.344431073,55.2102465322035,101.05004717699,77.16,2.919349187156708,296.73270652833634,6258.993498973749,5611.759618777691,122.2521245303368,9.226641231220574,1
Maldives,2020,1678112.0,,,11.8706880719155,7216.81637703018,,1714.79333333333,40.669,1.6573839724355772,119.61035795300404,,,856.6857608401673,8.884169189632363,3
Mali,2020,6447858.0,30.6566300506435,89.2115460852714,3.07380326420401,822.906136832132,36.3339442288606,17.3940451896836,43.909,1.4525879117527796,11.95343506869531,252.2752900326686,298.99425681245845,25.294515695281152,6.7128421441511605,0
Malta,2020,1600392.0,173.802493124355,63.8722762058218,29.8980200459773,29592.5714840718,159.199355964583,1610.4125,94.744,0.3671017380472539,108.6348442509037,51432.62701892392,47111.18321600134,8847.59295442796,10.295278645439621,2
Marshall Islands,2020,146560.0,35.6430815394755,132.111207189793,1.26481688003675,5545.60026741253,72.649154667104,241.183333333333,77.794,3.14712804540413,174.527141301746,1976.622825167217,4028.831715491857,70.14168828159676,8.620760147741953,3
Mauritania,2020,4781520.0,41.406104283545,65.304636397519,11.2328299227716,1836.29241098592,45.3700638487291,4.36461045891142,55.327,2.030423490023505,37.28451245817703,760.3371506436507,833.1270393136782,206.26760341081032,7.515503823741949,0
Mauritius,2020,3806896.0,39.3497952654865,90.2043780660052,1.96937222717258,9011.04288445023,46.4807496090217,633.957936905358,40.76,1.2930642389686255,116.5185730969531,3545.82692631636,4188.40028028288,177.46097594497374,9.106206091345923,1
Mexico,2020,428940300.0,39.2434324403369,78.3098800396575,2.81252013149434,8895.61521605941,37.6268298852866,64.8156084261426,80.731,1.512667120759179,134.56104656258145,3490.944747466605,3347.13800459634,250.19096877194423,9.093313761964456,1
Moldova,2020,5237566.0,27.9143362637536,99.5726047383764,1.35047634241375,4375.7788930524,51.3513858554044,91.7473260542588,42.849,2.912949214544869,127.46421689539036,1221.4696343650028,2247.0231035506827,59.09385874700679,8.383839815643466,3
Mongolia,2020,37073100.0,57.6603497340995,76.2818240241891,12.9130799939654,4041.17414564367,55.1782978952179,2.1151336184565,68.657,6.81386176301874,275.3600198870145,2330.1551457421483,2229.851108547795,521.8400501224162,8.304290558840266,3
Montenegro,2020,2407248.0,25.9966843090985,103.826256649958,11.1300494820964,7677.37132106817,61.0093337726222,46.1937546468401,67.488,1.8926533769744984,145.30602757106837,1995.8619855753525,4683.913094234049,854.4952269591619,8.946032491649369,3
Morocco,2020,64564172.0,30.7941069539783,78.4786160591491,1.16907334587558,3258.26904296875,38.0496964364582,82.2065247591306,63.532,2.2478350016690865,74.35053180291098,1018.5615166255224,1258.5510782105243,38.66886355889835,8.088951364932612,3
Mozambique,2020,6376114.0,32.7898734688009,89.4997249622767,22.3944370320139,456.581918375225,67.1162725832285,39.6478025890791,37.074,2.343448915868975,10.69976401621801,149.71263331666006,306.44076490244976,102.2489502101007,6.123768132731687,0
Myanmar,2020,34587544.0,,,2.41393222885654,1478.87278562378,,81.8533071843351,31.141,2.2634683109360214,33.473816861650995,,,35.69898679596081,7.299035445234377,0
Namibia,2020,3832064.0,33.6778689517423,95.6400460880058,-1.41889955275348,4252.04172014353,43.2473734519041,3.02335507536834,52.033,1.5573843481804646,66.22063222761861,1431.997038283346,1838.8963620412417,-60.332200950008,8.355154551300704,3
Nauru,2020,51296.0,43.5483870967742,,,10124.7006220945,91.3978494623656,615.75,100.0,1.991240947117684,201.6071845602249,4409.14381929922,9253.758633097115,,9.222733323349395,1
Nepal,2020,15631550.0,6.80528982553742,94.2806425285577,0.378739091402959,1139.18989468388,34.1135757694721,204.734056505058,20.576,1.8120736371307904,20.64295975842468,77.52517399647282,388.61840788115575,4.31455745648006,7.038072670081044,0
